session,timestamp,epoch,loss
215,1979-01-03T17-15-00,1,0.631197
216,1979-01-03T17-30-00,1,0.633121
217,1979-01-03T17-45-00,1,0.633677
218,1979-01-03T18-00-00,1,0.629908
219,1979-01-03T18-15-00,1,0.631581
220,1979-01-03T18-30-00,1,0.631282
221,1979-01-03T18-45-00,1,0.630467
222,1979-01-03T19-00-00,1,0.631947
223,1979-01-03T19-15-00,1,0.631953
224,1979-01-03T19-30-00,1,0.632112
225,1979-01-03T19-45-00,1,0.629989
226,1979-01-03T20-00-00,1,0.631252
227,1979-01-03T20-15-00,1,0.633632
228,1979-01-03T20-30-00,1,0.631920
229,1979-01-03T20-45-00,1,0.630285
230,1979-01-03T21-00-00,1,0.631661
231,1979-01-03T21-15-00,1,0.632927
232,1979-01-03T21-30-00,1,0.630896
233,1979-01-03T21-45-00,1,0.631754
234,1979-01-03T22-00-00,1,0.628731
235,1979-01-03T22-15-00,1,0.628371
236,1979-01-03T22-30-00,1,0.630145
237,1979-01-03T22-45-00,1,0.630563
238,1979-01-03T23-00-00,1,0.628601
239,1979-01-03T23-15-00,1,0.632196
240,1979-01-03T23-30-00,1,0.630944
241,1979-01-03T23-45-00,1,0.629849
242,1979-01-04T00-00-00,1,0.630097
243,1979-01-04T00-15-00,1,0.631061
244,1979-01-04T00-30-00,1,0.630281
245,1979-01-04T00-45-00,1,0.628230
246,1979-01-04T01-00-00,1,0.627237
247,1979-01-04T01-15-00,1,0.628425
248,1979-01-04T01-30-00,1,0.626817
249,1979-01-04T01-45-00,1,0.629916
250,1979-01-04T02-00-00,1,0.626580
251,1979-01-04T02-15-00,1,0.630248
252,1979-01-04T02-30-00,1,0.628220
253,1979-01-04T02-45-00,1,0.627155
254,1979-01-04T03-00-00,1,0.628832
255,1979-01-04T03-15-00,1,0.626169
256,1979-01-04T03-30-00,1,0.627813
257,1979-01-04T03-45-00,1,0.624403
258,1979-01-04T04-00-00,1,0.630528
259,1979-01-04T04-15-00,1,0.627175
260,1979-01-04T04-30-00,1,0.628107
261,1979-01-04T04-45-00,1,0.629285
262,1979-01-04T05-00-00,1,0.630016
263,1979-01-04T05-15-00,1,0.630820
264,1979-01-04T05-30-00,1,0.627271
265,1979-01-04T05-45-00,1,0.628572
266,1979-01-04T06-00-00,1,0.628732
267,1979-01-04T06-15-00,1,0.624625
268,1979-01-04T06-30-00,1,0.626023
269,1979-01-04T06-45-00,1,0.626982
270,1979-01-04T07-00-00,1,0.626163
271,1979-01-04T07-15-00,1,0.630587
272,1979-01-04T07-30-00,1,0.627790
